Ticker,ISIN,Industry,TR_AnalyticCO2,TR_AnalyticTotalWaste,TR_EnvProducts,TR_AnalyticEnvRND,TR_AnalyticWaterUse,TR_AnalyticEnergyUse,TR_PolicyHumanRights,TR_PolicyResponsibleMarketing,TR_ProductQualityMonitoring,TR_PolicyDataPrivacy,TR_WomenEmployees,TR_AvgTrainingHours,TR_TradeUnionRep,TR_AnalyticLostDays
HPRX,WJ51BQ234T91,Coal ,,0.52,,0.17,0.24,0.72,0.77,,0.01,0.08,0.92,0.25,0.53,0.04
HQEI,ZJB1MPNH0KZ4,Coal ,0.69,0.71,0.29,,0.85,,,,0.08,,0.15,,0.21,
HSAI,IW268VJM0YX0,Coal ,,0.87,0.15,,0.04,0.36,,0.17,,,0.79,,0.06,0.68
HSJN,WLX1BK0B6ES5,Coal ,,0.47,0.05,0.73,,,0.74,,0.85,,,0.67,0.29,0.71
HUP,TKT4NZPTSJU4,Coal ,0.74,0.61,0.89,0.03,,0.32,0.15,0.01,,,,,0.13,0.94
ICH,INAGOQRQS9F7,Coal ,0.91,,0.85,0.43,,0.96,,,0.83,0.94,0.01,0.43,,0.03
IGJ,SEJB8TKXQNC6,Coal ,0.93,,,0.98,0.83,0.98,,0.88,0.87,0.65,,0.58,,
IIL,BT7GLK3TH6S6,Coal ,,0.61,,0.99,,0.33,,0.58,0.4,,,0.61,,0.19
ILE,BHTES54YBWM4,Coal ,,,,0.12,0.44,0.84,,0.59,0.5,0.01,,,0.3,0.9
IMM,QAUMX5REHXV7,Coal ,,0.47,,0.06,0.33,0.32,,,0.67,,0.37,0.29,,0.47
ITX,JZS3418533X6,Coal ,,0.61,,,,0.24,0.7,,0.91,,0.12,,0.26,0.71
IWP,YAC0EYTKL5D8,Coal ,0,0.08,0.75,,,0.7,0.76,0.64,,0.16,,0.58,,
JQQQ,DMQSQC9VZR01,Coal ,0.1,0.69,,0.82,,0.73,0.23,,0.66,0.08,,,,0.82
JRLI,US49JMX7FVW9,Coal ,0.43,0.91,0.45,0.52,0,,0.39,,0.83,,0.2,0.86,0.15,
JSHQ,GGD7LLWD6017,Coal ,0.22,0.74,,,0.14,,0.44,,0.12,0.12,0.59,0.18,,0.83
JXYQ,GFVBQF3IAZW3,Coal ,0.03,,,,0.89,,,,,0.75,0.14,,0.19,
KAS,NNXCZ6S8RRR3,Coal ,0.89,0.26,0.61,0.68,0.74,0.72,,,,0.72,,,0.34,
KBV,OZW1S1S39YI7,Coal ,0.38,0.34,,0.56,0.75,0.59,0.65,0.03,0.86,0.44,0.79,0.34,0.23,
KHE,WO7KPJWXHYD0,Coal ,,,,,,,,0.83,,0.07,0.19,0.32,0.02,0.18
KHWW,AB93PMXXHZZ2,Coal ,,,,,0.39,,0.51,0.02,,,0.4,0.27,0.89,
KJD,JQRSJ5BEZNZ0,Coal ,,0.8,,0.13,,,0.68,,0.91,,0.83,,,
KPQ,ICU2C09GC8E2,Coal ,0.14,,,,0.01,0.68,0.83,0.55,,,0.08,,,0.34
KQNW,SBO3BWJUQS46,Coal ,,,0.44,0.76,0.44,0.73,0.89,0.77,,,0.21,0.99,,0.83
KSV,OJLGU2VXI967,Coal ,0.56,,0.63,0.59,,0.61,,0.51,0.2,,0.02,0.5,0.73,
KTS,EYWXMKWY6TU9,Coal ,0.95,0.97,,0.34,0.57,,0.84,0.89,,,0.16,,,
KUC,HS9G84T9LXP0,Coal ,,,0.22,0.73,,,0.65,0.67,,0.61,,0.9,,0.28
LAE,COECGB00XR46,Coal ,0.74,,0.08,0.59,,0.35,0.78,0.68,0.87,0.74,0.87,,0.77,
LFZ,VKPEZR311FE1,Coal ,0.77,0.73,,,0.49,0.57,0.87,0.98,0.98,,0.57,0.69,,0.02
LJY,GIOUWBKFTFO3,Coal ,,,0.23,0.09,,0.79,0.44,,0.96,0.06,0.66,0,0.34,
LLW,LZI9ZKSAJD32,Coal ,0.19,0.13,,,,0.8,,0.14,0.97,,0.69,0.07,,0.79
LMMR,UMK3SZW1O4M8,Coal ,,,,,0.23,,,0.22,,0.93,0.77,0.61,,0.4
LNHE,WVLRWLI2C5E1,Coal ,0.37,,,0.51,0.86,0.74,,0.18,,0.72,0.54,0.71,0.01,0.99
LOD,KR05J42P0QC5,Coal ,,0.89,,,,,0.61,0.73,,0.8,,0.64,0.32,0.42
LPU,ENXYSU78ZMB7,Coal ,0.26,0.93,0.64,1,,,0.22,,0.61,,0.94,0.39,0.79,
LVLA,PSU3EFS63A98,Coal ,,0.15,0.74,0.84,0.13,0.94,0.84,,,0.24,0.14,0.94,,0.27
MCSA,RD4ZWQ4Q28I1,Coal ,0.53,0.92,0.8,,,0.66,,0.52,0.22,0.8,0.2,0.71,0.51,
MHPH,ZD3ISAV17RZ4,Coal ,,0.99,,,0.18,0.26,,,,0.8,0.73,0.82,0.3,0.67
MIDP,NKL6NZW1BW51,Coal ,,,,0.62,0.26,0.5,0.21,,0.17,0.78,,,0.4,0.15
MOUJ,JAYV8IBB1PV4,Coal ,,,0.78,,0,,0.67,0.64,0.35,0.63,,,,0.97
NAB,KSP28V452IW2,Coal ,0.44,0.41,,0.52,0.24,,,,,,0.78,,,
NALM,XCUTFJO748S6,Coal ,0.37,,,0.19,0.76,,,0.42,0.87,,0.55,,,0.48
NKZ,QUB347PMRTG8,Coal ,,,0.6,0.07,0.36,0.14,0.26,0.84,0.18,,0.09,0.06,0.32,
NRIP,CKAIF00W8M49,Coal ,0.9,0.95,,0.5,,0.63,0.52,,0.59,,0.16,0.77,0.7,0.45
NTR,NFJ6P61G6QB9,Coal ,0.81,,0.54,0.08,,0.66,0.37,,0.74,0.35,,0.41,0.81,
OAB,WGAXG1T8BCJ5,Coal ,,0.33,,,0.17,0.17,,,,,,,,
OAH,GXW6O4ASD1E1,Coal ,,0.22,0.35,,,0.02,0.82,0.85,0.31,,0.02,0.96,0.17,0.58
OCW,HKV3DT35BRG3,Coal ,,,0.85,,0.09,,,0.9,0.37,0.34,,,,
OFWB,PPWM0IYU5D84,Coal ,,,0.73,,,,0.42,,0.09,0.47,,0.23,0,0.22
OMGU,RX6YRCYVB5N0,Coal ,,0.83,,,0.3,,0.15,,0.97,0.25,0.77,,,0.45
OPV,YCQ0NATP7GG5,Coal ,0.05,0.78,0.41,,0.69,,,,,,,0.31,0.16,0.5
OZZ,KF5GHGLJD468,Coal ,,0.16,0.26,0.03,0.13,,0.69,0.85,0.07,0.87,,,,0.32
PBT,HK4NIHGD5392,Coal ,,,,,,,0.05,,,0.29,0.02,,,0.95
PCR,BDVN2XP8EJ42,Coal ,,0.65,0.61,0.44,0.2,,,,0.49,,0.08,0.22,,0.4
PDV,VRH3L25MN4X1,Coal ,0.81,,,,,0.13,,0.6,,,,0.81,,0.3
PEJS,FJDRVFQQPHF8,Coal ,0.32,0.62,0.59,,0.51,,0.24,0.6,,,0.52,,,
PGF,TBCS8IJO27H2,Coal ,0.21,,,0.69,,0.92,0.33,0.91,0.93,0.42,,,,
PJI,GA2VV15C3G75,Coal ,0.54,1,,,,,,0.37,0.13,,0.66,0.25,0.04,0.56
PLB,WKHSWAL5M7H1,Coal ,,,,0.62,,,,0.89,,0.83,0.74,0.45,0.02,
PRT,MNT4AO346JI5,Coal ,,,,0.86,,0.36,,0.54,0.71,,0.81,,,0.49
PSYL,LCGYID93PUG8,Coal ,,0.09,,,0.85,0.08,,0.65,,0.27,,0.24,0.92,
QDC,WTJIW3O9UGB0,Coal ,0.85,,,0.08,,0.14,0.34,0.36,,,,,0.31,0.04
QFA,ML58OHKI3X74,Coal ,0.5,0.37,0.64,,0.76,0.86,0.06,,0.92,0.25,0.76,0.31,,0.82
QFW,QT2SEO98DUO6,Coal ,,0.51,,0.04,0.06,,,,0.3,0.05,0.45,0.3,,0.92
QHUP,CY88R71JC7L4,Coal ,0.65,0.03,,0.09,,0.91,0.57,,,0.02,,0.49,1,0.22
QLXO,TERYGTVWPSV8,Coal ,0.16,,0.71,,,,0.43,0.78,0.22,,,,,
QMIX,QPHSL5IJO3H0,Coal ,0.83,0.21,,,0.24,,0.19,0.94,,0.12,0.37,0.67,0.13,
QQY,UDH8OK408429,Coal ,0.87,0.31,0.3,0.87,0.48,0.27,0.04,,0.67,,0.68,,,
QXIG,UL7U4HEBOMZ6,Coal ,0.36,0.53,0.11,,0.84,,0.51,0.68,,0.34,,,0.85,0.99
RAH,AJ4SEKEWQQ01,Coal ,,0.03,,0.97,0.58,,,,0.25,0.88,0.83,,,0.51
RCA,ATWORJJILM94,Coal ,0.76,0.14,0.3,0.49,,0.19,0.93,0.14,0.32,,0.42,0.06,,
RENS,PCH8Q5732B87,Coal ,,,,0.82,0.84,0.86,0.29,0.11,0.86,0.43,0.63,0.55,0.25,0.57
RKPF,SJE7KPZZKRJ1,Coal ,,,0.57,0.63,0.77,0.01,0.45,0.3,,0.06,0.32,0.16,0.41,0.41
RPX,IIZXKJXAGN45,Coal ,0.53,,0.21,0.34,,0.83,0.52,0.46,0.04,0.73,0.52,,,
RQKC,EWJ5UAHS05U2,Coal ,0.44,,0.16,,0.36,0.72,,0.35,0.01,0.84,0.89,,0.2,0.38
RXVG,KQSVCWGWIKB5,Coal ,0.11,,0.07,0.69,,,,0.67,0.6,0.27,0.73,0.26,0.4,
SDK,MOJ0G9NAL6X7,Coal ,0.75,0.83,,,0.84,0.09,0,0.92,0.39,0.88,0.43,0.44,,
SDVP,WHJHO8SJC1H7,Coal ,0.36,,0.54,0.81,,,0.22,0.47,0.05,0.92,,0.02,,0.13
SGCJ,YPHNPSTYPPC5,Coal ,0.35,,0.78,,,0.2,0.25,0.83,0.79,,,0.53,,0.17
SIBB,AXDCTG5VYWT3,Coal ,,0.93,,0.21,0.75,,0.03,,0.22,0.21,0.29,0.94,,0.52
SKV,KRD39PFEBDK6,Coal ,0.97,,,0.14,0.29,0.77,0.66,,0.9,,,0.29,0.6,0.92
SPO,KYHUAGDHCXL3,Coal ,,0.4,0.91,0.97,0.28,0.44,,,0.11,0.23,,,0.08,
SQL,YNKXU8FYXB07,Coal ,0.75,0.51,,0.79,0.67,0.7,0.08,0.89,0.98,0.83,0.98,,,0.34
SZE,FM6S7T4JNRG8,Coal ,0.08,0.17,,,0.29,0.62,0.8,0.84,0.3,,,,,
TAA,HSHBKNUI6170,Coal ,,,,,0.86,0.81,,,,,0.84,,0.66,0.76
TADU,FUF60900NB22,Coal ,,0.93,0.93,0.02,,,0.97,,0.88,,0.45,,,
TCS,SB3QHDC9SJJ0,Coal ,0.18,,,0.53,,,0.91,,,,0.56,0.24,,
TJCR,PN0KZ6L8CSH7,Coal ,0.24,,0.29,0.69,,,,0.25,,,0.79,,,0.4
TKJ,MQMPUKLCZMG3,Coal ,0.26,,0.07,,,0.81,,0.84,,,0,0.29,0.91,0.74
TLN,UUL307H07MA2,Coal ,0.85,0.53,0.39,0.37,,0.76,0.1,,0.53,,0.85,,0.61,
TNDN,EOM5MUA7OFI0,Coal ,,,,0.42,0.19,0.42,,0.88,0.21,,0.74,0.63,,
TPE,PMF94JCT9648,Coal ,,,,0.03,0.2,,,0.43,,0.31,,0.48,,0.35
TPO,NX4CJJ06D8B9,Coal ,0.48,0.63,0.85,,,,,0.02,,0.63,,,,0.92
TQMO,ICYI7DCCTX53,Coal ,0.63,0.81,0.11,,,0.15,,,,0.58,0.35,,0.01,0.04
TQQS,GX47YP1QAHC4,Coal ,,0.61,0.27,0.93,,,,0.68,0.51,,0.99,,,1
TST,UCL80WQHVHJ7,Coal ,,0.01,,0.26,,0.63,0.35,0.26,,,,0.13,0.67,
TVZ,DZ7VI9L48MU6,Coal ,0.21,,0.53,0.03,,,,0.35,0.55,,0.57,,,0.33
TYM,LUGD99RAW1J5,Coal ,,0.1,,0.24,0.07,,,,0.66,0.48,0.39,,0.97,
UJNV,WAZATLOPEXX4,Coal ,,0.64,0.05,,0.63,0.12,0.62,0.8,,,,,,0.57
UKY,VR34LX4D69R6,Coal ,0.6,0.29,0.48,0.39,,0.5,0.16,,0.78,0.22,,0.11,,0
UMDH,WDI7M6DY9491,Coal ,,0.73,0.56,,,0.11,,0.52,0.18,,0.99,,0.75,0.9
UPGN,PD0XDPFFJTX2,Coal ,,0.89,,0.35,,,,,0.55,0.67,0.45,0.54,0.99,
UWB,DP3KMGXZ1VA2,Coal ,0.96,,,0.3,,0.92,,,0.62,0.97,,0.58,0.26,0.27
UXH,LN7CBJG9E720,Coal ,,0.82,0.2,0.78,0.74,0.93,,,0.99,,0.1,0.9,0.94,0.68
VAB,UX6Q8CUA3SX8,Coal ,0.51,,0.85,,0.64,0.51,0.65,0.37,0.62,,0.79,0.7,,
VBA,ZYT8R237OHC4,Coal ,,0.46,0.11,0.03,,0.68,0.75,,,,0.06,0.28,,0.06
VGGV,RG8W9ZMFRVM9,Coal ,,,,,0.79,0.05,0.32,0.25,0.66,0.91,0.65,0.67,0.84,
VGH,YHXCYLX0SVQ3,Coal ,0.52,0.37,,0.99,,0.4,0.32,,,,0.82,0.44,0.77,0.91
VJV,DNAW5ZXP3UG5,Coal ,0.32,,,,0.3,,0.91,0.55,,,,,0.04,0.56
VKB,ZV8ZB1RRO776,Coal ,0.98,0.44,0.27,0.99,0.39,,,,0.69,0.52,0.51,,,0.77
VKE,LZRULP0OTMY8,Coal ,0.96,,0.18,0.8,,,,0.32,0.09,,,,0.96,0.28
VLOO,EX8SIEM1BW22,Coal ,0.58,0.68,,0.39,0.83,,,,0.25,,,,0.94,0.99
VNW,RC77RWEE3K59,Coal ,0.33,,0.66,,0.93,0.52,0.3,,0.69,,0.81,,,0.46
VTJ,KSWZAZOKD1D5,Coal ,0.81,0.19,0.77,0.64,0.26,0.09,,,,,0.25,0.69,0.51,0.95
VVD,YNA467A1RN73,Coal ,,0.15,0.52,0.99,0.59,0.68,0.1,,0.68,,,0.57,0.52,0.36
VVWT,BCASQBLU0IS9,Coal ,,,,,0.46,,0.46,0.58,1,0.59,,0.82,0.2,
VYA,FSSYR4K4BYG6,Coal ,,,0.08,0.99,,,0.27,0,,,,0.98,,0.16
VZQ,PT4XRKHJK7M0,Coal ,0.79,,0.33,,0.78,0.2,0.06,0.42,0.39,0.83,0.41,0.31,,
VZZM,PGBG0NL37A60,Coal ,0.21,0.6,0.19,0.69,,0.94,0.27,0.33,0.14,,0.59,,,0.25
WCVR,VEJJEK1L3PF9,Coal ,0.27,0.81,0.61,,,0.88,0.38,,,,0.34,0.93,,
WEQM,MQQ18YZXC3J8,Coal ,0.66,,0.21,0.24,,0.92,0.92,0.77,0.37,0.41,,0.25,0.22,
WJJ,FXDBP9B3LNH4,Coal ,0.01,,0.06,,0.87,0.1,0.69,0.73,0.84,,0.14,,0.22,0.99
WJQ,SPACOWG9I584,Coal ,,,0.95,,0.48,0.71,0.69,,0.09,,0.28,0.57,0.82,1
WKU,HULYE6T8I5R7,Coal ,0.85,0.26,,0.47,0.16,,0.79,,0.49,,0.21,0.74,,0.76
WPDC,XWQX0J9N3L21,Coal ,,,,0.41,,0.1,0.15,0.3,,,,,0.93,
WSSF,NNYRT0G42MY5,Coal ,,,,,0.2,,,0.13,,,0.66,,0.78,0.14
WUGL,FO6YPDBAWXG8,Coal ,0.86,,0.42,,,0.12,,0.29,0.83,,0.02,,0.35,0.21
WVDO,YEXXU8FNR220,Coal ,0.05,,0.25,,,0.48,,0.9,,,0.03,,,
XLEI,SJDZ1598YOT9,Coal ,0.98,0.43,,,,0.18,,,0.21,,,,0.66,0.56
XLFH,MB42UDROBMI0,Coal ,0.31,0.47,,0.37,,0.5,0.63,,,0.68,0.36,0.95,0.51,0.16
XPA,KX7Q4BHWKY15,Coal ,0.57,0.01,0.38,0.01,0.3,,,0.84,0.33,0.94,0.02,0.77,,
XPOM,IQ909B2V6FO7,Coal ,0.19,0.33,,,0.12,0.67,,0.23,0.31,,0.99,,,
XZIH,EL9E5JPJSR95,Coal ,0.86,0.79,,0.75,,,,0.97,,,,,,0.94
YAD,LQ2PNJXPM3I5,Coal ,0.93,0.05,0.94,,0.04,0.1,0.58,0.13,0.29,,0.55,,0.64,0.41
YCQG,FRICNKP7IGK6,Coal ,0.92,0.07,,0.93,0.26,0.28,0.47,,0.57,0.3,0.57,0.71,0.48,0.28
YEA,YHZRV3NR0VI8,Coal ,0.97,,,0.93,0.05,,0.32,,,,0.85,0.03,0.28,0.14
YGH,CJWUDEV3T260,Coal ,,0.47,,,0.72,0.84,,,0.83,,,,0.79,0.26
YJRT,DWI4NUXNRC49,Coal ,0.91,0.95,0.64,0.51,,0.56,,,,,0.79,0.94,,0.45
YJYB,TVOBCFCQOF92,Coal ,0.32,,0.34,0.7,0.41,0.73,,0.74,,,0.78,,0.49,0.97
YKVO,HDRZOOMTD707,Coal ,0.11,,,,0.51,0.47,0.47,,0.19,0.04,0.23,,,
YLYF,UF0YQWLLX773,Coal ,0.6,0.81,0.11,0.33,,,,,,,,,0.3,0.41
YTY,DFOJXVS7M034,Coal ,,0.79,,0,0.05,0.81,,,0.23,0.53,0.44,,,
YUKR,IVHXIPI28834,Coal ,,0.42,,,0.71,,0.38,0.86,0.56,0.03,,,,
YWM,EZGKKXBDAHH8,Coal ,,0.05,0.4,0.44,,0.33,,,0.87,0.92,,,0.87,0.05
ZBGT,ZMAAL7TJJ7K4,Coal ,0.47,,0.82,0.96,0.47,,,,0.23,0.27,,,,
ZDZ,TP19RT81CJM3,Coal ,0.33,0.37,0.17,,0.52,0.53,,0.39,,,0.59,,,0.26
ZESB,WWWNU5VHCMC7,Coal ,,,,,,,,,0.28,,0.53,0.53,,
ZGB,JLLND0N8NWM6,Coal ,,0.25,,0.64,0.4,0.99,,,,0.32,0.64,0.53,0.54,0.05
ZGW,ZU6D9ZC46AH7,Coal ,,0.49,0.25,,0.3,,0.35,0.98,,0.03,,0.27,,
ZIG,UDM8THEC3K73,Coal ,,,0.65,,,0.94,,0.88,0.1,0.98,0.4,0.74,,
ZKAF,EGFUDVSVS9X9,Coal ,0.21,,0.49,0.19,0.71,0.44,,0.78,0.71,,,0.48,,
ZLI,HOWM0UMDNWR1,Coal ,0.25,,0.77,0.29,0.04,0.13,,,,,0.98,0.62,,
ZMB,CH0OWAH4JYX2,Coal ,,,0.68,0.04,0.53,0.85,0.9,,,0.98,0.69,0.83,,0.43
ZSRY,QMHQ75P38UB8,Coal ,0.45,,0.76,0.89,,,,0.47,,,,,,
ZTP,MG20T0PHZAX8,Coal ,,0.9,,,,0.73,0.62,0.55,,0.58,,,0.24,0.1
ZUHR,ZJWU5GCNAS57,Coal ,0.37,0.02,,0.31,0.41,0.49,0.44,,0.51,0.32,,0.26,0.06,
ZUWW,JA88H9F5SMN0,Coal ,,0.51,0.97,0.18,,0.62,0.37,0.44,0.72,,0.53,,,0.31
ZZX,GWWRR8TQW7H8,Coal ,,0.35,0.99,,,0.69,0,,,0.43,,,,0.43
ABB,ENXINNJ19666,Collective investments,,0.15,0.55,0.69,0.61,,0.48,0.43,,,,0.78,0.39,0.75
ABHJ,ZA5E6VZXK172,Collective investments,,,0.11,,,0.51,,,0.76,,0.16,0.05,0.25,
ABP,BAE8V7V7K989,Collective investments,,0.66,0.79,,0.14,,0.36,0.29,0.8,,0.63,,,
ACBL,VE8INK38VFA2,Collective investments,,0.4,0.77,,,,0.91,0.07,,0.91,0.33,,0.68,
AJC,IIOB0E9AII74,Collective investments,,0.45,0.31,0.34,0.47,,0.4,0.51,,,,0.42,0.31,0.82
ANSG,OP9CJDAGLWV7,Collective investments,0.13,,0.5,,0.65,0.18,,0.96,,,0.01,,0.97,0.28
AYUI,LVCO71J750Y4,Collective investments,0.74,,,0.31,0.2,0.01,,0.13,,,,0.28,0.3,
BBVM,SGEPNCCYYAX4,Collective investments,0.68,,0.1,,0.06,,0.01,0.81,0.72,0.98,0.39,0.77,,0.7
BCZ,PIWI24TOCSX6,Collective investments,,0.9,,0.78,,0.25,0.32,0.97,,,,0.93,0.46,0.15
BHF,LXHPOHUUZRM2,Collective investments,0.53,0.58,0.95,0.15,0.45,,,,,0.49,0.79,0.78,0.94,0.95
BIC,JI2QT0DNR9H4,Collective investments,0.53,,0.81,,0.81,,0.61,0.35,0.89,,0.13,,0.84,
BIRX,OAA9GZOIYJ20,Collective investments,0.23,0.3,0.26,0.39,0.85,,0.25,0.17,,0.02,,,0.31,
BMBE,RGQ4MM1BIBT7,Collective investments,0.91,,,,0.74,0.31,,,0.95,0.28,,,,0.63
BTGM,UA1C8T44PQM7,Collective investments,,0.1,,0.21,0.11,,,0.36,,,,0.78,,
BTJQ,WG5LCB2JDH61,Collective investments,,,0.05,,,0.22,,0.98,,0.92,0.87,,0.1,0.34
BVK,FAVD4JXOPCK4,Collective investments,,,,0.92,,0.76,0.08,0.67,,0.76,0.61,,,
BVT,QQGNYC427D94,Collective investments,,0.49,0.35,0.78,0.6,0.18,,0.83,0.99,0.28,,0.5,1,0.32
BXJ,BOU0M39ZWG60,Collective investments,0.71,,,,0.64,,,0.6,,0.81,,,,
CILC,UX2DR7QLUNS7,Collective investments,0.66,0.37,,,,,,,0.41,,0.14,0.83,0.83,0.17
CIT,OYRQMA0WS6L9,Collective investments,,,,0.65,0.64,0.9,0.53,0.81,0.62,0.24,0.12,,,
CKC,OQHCBHF1WSO7,Collective investments,0.7,0.36,0.18,0.24,,0.89,0.81,0.23,,,,0.32,0.93,
CLU,WKDCIPJRGXH3,Collective investments,0.13,0.68,,,0.59,,,0.46,,0.05,0.27,,0.6,0.94
CNGH,KNRGOZGILF30,Collective investments,,0.03,0.68,0.88,,,,0.95,0.51,,0.15,0.49,0.97,0.86
COEC,OE48MP4P1O30,Collective investments,,0.9,,0.2,0.81,0.36,,,0.94,0.49,0.25,0.51,0.16,0.64
CRQM,PK3VNWASJ1H5,Collective investments,0.42,0.1,0.15,,0.12,0.76,0.45,0.92,0.48,,0.24,,0.43,
CTZB,TORXNCM9PS02,Collective investments,0.17,0.49,0.22,0.14,,0.37,,0.94,0.09,,0.8,,0.79,0.68
CVH,MPTYMXE7QNG2,Collective investments,0.34,0.14,0.51,,,,,,,,,0.03,,0.94
CVY,IFV551E8F407,Collective investments,0.15,0.86,0.45,,,,,,0.16,,0.01,0.6,,0.33
CWAB,JQYTG2BT4M97,Collective investments,,0.73,,,0.2,,,0.23,,0.1,,0.58,0.23,
CXCG,RWAL34FO7RH2,Collective investments,,0.01,,0.58,0.06,,0.69,,,0.77,0.08,,0.87,0.78
DHX,DPSPV9UFHDB2,Collective investments,,0.42,,0.29,0.84,,,,0.33,,,,0.41,
DHYX,KLQIBL6QPNB1,Collective investments,,,,0.81,0.98,,,,0.12,0.42,0.79,,0.78,0.55
DIR,KZVPP8ZK6YG0,Collective investments,0.84,0.13,0.84,,0.87,0.5,0.88,0.07,,0.53,0.18,,0.33,0.29
DJWZ,EBCEM1858PE1,Collective investments,,,0.97,0.3,,,,0.24,0.09,,,0.39,0.69,0.35
DLVC,QZ85XIZUTQ02,Collective investments,0.37,0.06,,0.64,,0.23,0.4,0.15,,0.68,,,0.69,0.9
DLW,BA8Q43IR2QJ9,Collective investments,0.82,,0.73,0.68,0.66,0.61,0.84,0.16,0.46,0.91,,0.67,,
DNFF,GLG7W183O661,Collective investments,0.23,,0.58,,,,0.66,,,0.05,0.01,0.59,,0.2
DNU,XD83IN3GJVC3,Collective investments,,0.56,,0.61,,,0.46,,,0.8,0.39,,0.68,0.67
DPX,EAO66MWD97E2,Collective investments,,0.36,,0.66,,0.56,,0.25,0.94,,0.56,0.66,,0.81
DRG,TQ64WTRGU320,Collective investments,,0.25,,0.31,,,,0.79,0.47,0.64,0.49,,0.58,0.99
DRQ,VWLVR21D69C4,Collective investments,,,,,0.32,0.6,0.78,,0.74,0.58,,0.83,0.74,0.09
DXNO,AGCG901B7475,Collective investments,0.11,0.16,0.71,,,0.1,0.75,0.75,0.49,0.76,,0.78,,0.77
EECJ,ZD55W8HXCPI6,Collective investments,0.73,,,,,0.19,,0.95,,0.5,,,0.13,0.99
EEL,VWCC7VGDMSF0,Collective investments,0.96,0.42,0.92,0.67,,,,0.72,,0.6,0.83,,0.61,0.51
EJQ,KIQJK1V51PZ7,Collective investments,,0.86,0.26,0.03,,0.14,0.55,,0.92,0.19,,,0.05,0.42
EMNT,HVVWHRV8N5J8,Collective investments,0.93,0.88,,0.82,,,0.79,,,,,0.65,0.54,
ENH,UWQJS132BL15,Collective investments,0.78,,,0.69,0.96,0.12,0.4,,0.08,0.23,0.59,,,0.36
ENZT,JPF2ENAGQHE7,Collective investments,,0.73,,,0.74,0.03,0.24,,,0.41,0.66,0.87,,
EOLB,MLNZ4DDO3254,Collective investments,,,0.12,,0.37,0.31,0.6,,,0.3,,,,
EWG,PQ4QABGK9UE4,Collective investments,,,,0.73,0.32,0.23,,,0.28,,,,,0.86
FBVH,VWOYKJC4ML13,Collective investments,,0.29,,,0.79,,,0.75,0.94,0.57,,,,
FHJX,LZN90B7MSR43,Collective investments,0.35,,0.17,0.87,,0.29,0.03,0.55,0.55,,0.92,0.76,0.63,0.73
FORS,ANF8M2E3MMF0,Collective investments,,0.88,,0.09,0.84,,,,0.99,0.76,,,0.27,
FSNR,CUBZIX0D2DP7,Collective investments,,,,0.3,0.78,0.51,,0.73,,0.1,,,,
FWA,YXVEHYRDSQ75,Collective investments,0.36,0.62,0.28,0.71,0.7,0.52,,,,,0.62,,,0.47
FYJ,NJITBLPIYPO1,Collective investments,,,0.68,,,0.38,,0.79,,0.91,0.91,0.93,,0.02
GIHZ,KRDFTV3F0QP2,Collective investments,0.47,,,0.69,,,0.81,0.12,0.9,0.47,0.11,0.2,0.11,
GLP,IISRDS6YDVQ7,Collective investments,0.7,0.61,0.83,,,,,0.11,,,0.29,0.55,,0.2
GLX,LMEE9PCNWA03,Collective investments,,,0.62,,0.13,0.91,,0.95,0.42,,,0.33,0.03,
GOF,VPV5KSUCOZ47,Collective investments,0.9,,,0.98,,,0.79,0.39,,0.81,0.12,,0.32,0.99
GOQR,DCSGIATQBZL8,Collective investments,0.28,,,,,,,,0.9,0.84,,,0.58,
GXLP,IXFRMTG8IBD4,Collective investments,0.97,0.33,,,0.96,,0.58,,0.66,,0.89,0.21,,0.14
GYUX,NB5VE3OABVT3,Collective investments,,0.68,0.84,0.51,0.41,0.26,0.97,,,0.34,0.41,0.31,,
GZWB,HJE9B4VANYG0,Collective investments,,0.66,0.72,0.6,,0.63,0.03,,0.72,0.95,0.16,0.3,0.27,0.95
HBB,CDK635F1GTE5,Collective investments,0.9,,0.66,,0.53,0.44,,,,0.07,,0.7,0.53,
HBL,JU6MA5NMHVI5,Collective investments,,,,0.64,,,0.89,,,0.5,0.47,0.1,,0.82
HEJP,JBXQ9WNH8IF6,Collective investments,0.92,,,0.07,,,,0.69,,0.76,,,0.66,0.76
HHU,LFNT8LZ2J2S1,Collective investments,0.83,,0.54,,0.45,0.97,,0.47,,,,,,
HHV,ZRIMOTWS0U99,Collective investments,0.78,0.29,,,,0.8,,0.83,0.97,0.69,0.37,,0.65,0.35
HMDO,AQG0F2NO3VX4,Collective investments,,0.17,0.03,0.86,,,,0.84,,,0.63,,,0.48
HMZT,PBU9Y3AB5DX0,Collective investments,0.91,0.35,0.85,0.49,0.94,0.75,0.2,,0.87,,,,0.37,
HRG,XHFQDXRLV0B1,Collective investments,,0.07,0.14,,0.2,0.92,0.55,0.04,0.2,,0.09,0.54,,0.36
HUYP,OU32T4DQBDC6,Collective investments,0.03,0.6,,0.5,0.45,,0.47,0.26,,,0.46,,0.27,
HWAS,FQ3GR22CRM54,Collective investments,0.68,0.33,,,,0.56,0.68,0.87,0.44,0.57,0.54,0.27,,0.12
HYS,SU8L02UWUV82,Collective investments,0.29,0.73,,0.23,0.05,,0.99,0.02,,0.27,,0.84,0.27,0.91
