Ticker,ISIN,Industry,TR_WomenEmployees,TR_AvgTrainingHours,TR_TradeUnionRep,TR_AnalyticLostDays
GMFT,CIMKXYWSL6M8,Household goods,0.96,0.81,0.96,0.07
GCF,ITLL1IEJEQZ2,Industrial conglomerates,0.83,0.55,0.89,0.53
NZFX,JM33ZJ631LY8,Insurance,0.94,0.4,0.58,0.88
USIH,LHWSXWTV1Q89,Multiline utilities,0.38,0.72,0.95,0.75
HWZ,HTGLABDZ26G3,Office equipment,0.47,0.84,0.59,0.9
BMM,QDV81JKNIX79,Oil and gas,0.57,0.58,0.74,0.91
ZAZ,LAJ2IO0ANXM5,Paper and forest products,0.93,0.97,0.85,0.05
RFFZ,CRBS6BAY2973,Personal and household,0.94,0.26,0.61,0.99
RTS,PRVXDTWKX4J5,Pharmaceuticals,0.86,0.25,0.95,0.74
WYY,VUUET370ZV03,Specialty retailers,0.81,0.78,0.64,0.57
JVN,AA6WP3RMCIL5,Oil and gas related equipment and services,0.86,0.76,0.74,0.43
MRO,GSTNX13GL204,Aerospace and defense,0.99,0.38,0.94,0.48
XHW,NF5JK4NU29K5,Chemicals ,0.61,0.54,0.84,0.8
DKEM,VVQ89FCV33P8,Electric utilities and IPPs,0.86,0.74,0.24,0.95
IKAP,KZDZBSCN4E31,Electronic equipment and parts,0.89,0.85,0.89,0.16
MEEL,DSL6GMQ7G6T7,Food and tobacco,0.96,0.16,0.88,0.79
QWWT,HUA7Y5JCCUN1,Freight and logistics services,0.84,0.14,0.93,0.88
KHQ,LNOGMMQ00FK5,Homebuilding and construction supplies,0.82,0.36,0.94,0.67
LMSW,GZ6A6OAACGG6,Homebuilding and construction supplies,0.94,0.55,0.58,0.72
QCVQ,UN25VM5VD9X0,Hotels and entertainment services,0.68,0.34,0.88,0.89
KFW,ZG0TIQ2LORQ8,Industrial conglomerates,0.55,0.53,0.92,0.79
XADG,YGMYWSQT4690,Industrial conglomerates,0.02,1,0.83,0.94
ZULA,LJU0TW7DSTP4,Investment banking and investment services,0.79,0.36,0.86,0.78
IPBX,TMFJHG28AN09,Investment holding companies,0.38,0.63,0.83,0.95
QAK,FDCMM74K56Y7,Leisure products,0.48,0.74,0.94,0.63
XJXS,QKIGP205PEV9,Leisure products,0.87,0.99,0.6,0.33
TXU,KEZIXEAVOID1,Office equipment,0.83,0.73,0.63,0.6
ZMT,FSQFE0ILVFC8,Personal and household,0.83,0.8,0.29,0.87
FFXE,TE1I2M49PTB6,Renewable energy,0.49,0.52,0.84,0.94
ZPS,YOJ34V39JJY2,Textiles and apparel,0.84,0.46,0.72,0.77
DFVQ,VVKWY7UQY959,Transport infrastructure,0.95,0.38,0.85,0.61
YLAX,EF6KBO32VEB3,Water and related utilities,0.21,0.81,0.87,0.9
BII,WECXJ9YZG1I0,Industrial conglomerates,0.83,0.82,0.95,0.19
FXM,YF5OA99QPKA5,Investment holding companies,0.86,0.5,0.61,0.82
AKE,PILX3OPN90A6,Pharmaceuticals,0.89,0.55,0.7,0.65
TZI,AZ2ZB10HFEC5,Water and related utilities,0.34,0.87,0.97,0.61
TOE,EDE00UUWMIY9,Aerospace and defense,0.35,0.91,0.98,0.54
ERVW,SZL67C45MR90,Beverages,0.8,0.37,0.93,0.68
XPW,DXH00LVVEV24,Biotechnology and medical research,,0.95,0.9,0.93
EZI,MVIGX3HADV99,Construction materials ,0.53,0.75,0.86,0.64
YIWL,RWSSIDA5JTQ2,Containers and packaging ,0.55,0.34,0.91,0.98
KUVP,PEVIJ442J0K7,Food and tobacco,0.51,0.54,0.82,0.91
SXT,ZXGZ12O29DW8,Healthcare equipment and supplies,0.76,0.18,0.91,0.93
MGN,RSAHYPU7G8Q7,Investment banking and investment services,1,0.74,0.05,0.99
SFKL,EXTZ23QV40C4,Media and publishing,0.72,0.97,0.89,0.2
CFWQ,NMVNHAPVFFQ5,Passenger transportation services,0.39,0.63,0.91,0.85
ISR,VHUXRWVJRY71,Passenger transportation services,0.81,0.29,0.71,0.97
FUX,KTQQEE6I0K92,Residential and commercial REITs,0.24,0.78,0.81,0.95
XVMZ,HA8VE0A4Z9V5,Specialty retailers,0.8,0.39,0.78,0.81
ONQM,ZP1NAVUH4YM5,Telecommunications services,0.68,0.79,0.52,0.79
OLFS,WKYEI8JR4JZ5,Water and related utilities,0.75,0.73,0.37,0.93
XHHB,UK7E0ZHPBH66,Construction and engineering,0.72,0.37,0.71,0.98
CVZ,DCHMWLD2S760,Diversified retail,0.48,0.87,0.57,0.86
SUC,PKQ86UX5I3X6,Diversified retail,0.61,0.21,1,0.96
UWD,ZQFZDQNAZ4S0,Investment banking and investment services,0.97,0.82,0.34,0.65
XGXE,MG0RLQHXJEM7,Leisure products,0.88,0.98,0.44,0.48
XMV,VVAKNF5CS7L1,Metals and mining ,0.55,0.83,0.47,0.93
QRFM,IED3NJLW9H85,Multiline utilities,0.72,0.75,0.91,0.4
NYII,QQWKDMIGVS16,Professional and commercial services,0.8,0.39,0.65,0.94
QNKO,XLXCJ00QB2R0,Residential and commercial REITs,0.84,0.6,0.59,0.75
LXGT,SH3JYEV7NMQ0,Specialty retailers,0.8,0.72,0.92,0.34
XYG,PR6A1SGTXES8,Leisure products,0.84,0.74,0.78,0.41
BIDN,GVJ1L0Y2HCF6,Residential and commercial REITs,0.47,0.88,0.68,0.74
ALVJ,FYRZ508VWYZ9,Aerospace and defense,0.68,0.68,0.7,0.71
SKSK,FOZYBTBKCXA2,Aerospace and defense,0.6,0.46,0.85,0.86
LSW,YUZIJ8PN9KU5,Beverages,0.31,0.54,0.96,0.96
CTZB,TORXNCM9PS02,Collective investments,,0.9,0.92,0.95
SCO,XZOTTZZZ5JJ8,Communications and networking,0.99,0.83,0.1,0.85
JGF,EFVIJCJ22NO3,Construction materials ,0.45,0.83,0.86,0.63
FFK,GEGC88I60JQ2,Diversified industries,0.94,1,0.65,0.18
OCU,QC38SYBBKG32,Electric utilities and IPPs,0.2,0.9,0.84,0.83
SEE,XOLFPJXDU6O1,Industrial conglomerates,0.98,0.61,0.78,0.4
TCRF,ZPNT7C6PAOJ6,Investment banking and investment services,0.46,0.47,0.86,0.98
DTMM,CZFDZQ7YCSA9,Investment holding companies,0.77,0.43,0.67,0.9
MIT,EBO30HUB7B14,"Machinery, tools, heavy vehicles, trains and ships",0.88,0.14,0.88,0.87
XWC,PJQZBC2A2Z63,Multiline utilities,0.49,0.37,0.92,0.99
QUFA,OP9K8OIQAKT4,Natural gas utilities,0.41,0.94,0.74,0.68
EYX,CI25FBX5DMR1,Paper and forest products,0.37,0.73,0.85,0.82
FUYG,QP4GI99JKIU4,Renewable energy,0.75,0.83,0.41,0.78
LFS,IZ6HWVD0HKG0,Renewable energy,0.55,0.94,0.43,0.85
ELA,RUN02LJINP48,Specialty retailers,0.87,0.99,0.01,0.9
IVLM,JP636E7GI7J5,Uranium,0.69,0.99,0.68,0.41
MAWT,IU00P6JN5PE3,Banking services,0.69,0.9,0.82,0.36
DNSV,ROI40BUAHXQ9,Healthcare equipment and supplies,1,0.71,0.97,0.09
XUMK,YGMGBYTPQH57,Hotels and entertainment services,0.54,0.55,0.96,0.72
PWXF,KK9WEMLVI1V4,Industrial conglomerates,0.37,0.74,0.71,0.95
TWPY,MAQT1OBTT033,"Machinery, tools, heavy vehicles, trains and ships",0.84,0.96,0.97,
TVE,VNG94DKXSEY0,Pharmaceuticals,0.7,0.52,0.96,0.59
KDZ,UUDBTIP7LN77,Renewable energy,0.89,0.49,0.76,0.63
JNUT,WORES6248E46,Beverages,0.97,0.79,0.27,0.73
HUYY,VL2XOKZSP4N1,Chemicals ,0.86,0.13,0.9,0.87
VNW,RC77RWEE3K59,Coal ,0.99,0.61,1,0.16
ZPE,XJOAV8JBZ665,Communications and networking,0.82,0.4,0.67,0.87
BLQ,IPXLEVPBD9Z9,Construction materials ,0.81,0.57,0.74,0.64
VBNJ,OT53DTWLOZ12,Diversified industries,0.52,0.76,0.92,0.56
RXND,MFLENGIV5JT9,Food and drug retailing,0.68,0.46,0.93,0.69
YSM,XLMFQC7JSMM8,Investment banking and investment services,0.61,0.55,1,0.6
DOA,SOPNO0CD3Y28,Oil and gas related equipment and services,0.85,0.62,0.9,0.39
XWA,QQTLS2BGNZ09,Passenger transportation services,0.86,0.8,0.17,0.93
YNIL,DLH7UPVVXUJ7,Residential and commercial REITs,0.78,0.32,0.74,0.92
UYFG,FRBVEKT2T994,Software and IT services,0.84,0.53,0.77,0.62
OCYS,SG94M3WOY019,Chemicals ,0.73,0.86,0.79,0.38
DXNO,AGCG901B7475,Collective investments,0.83,0.82,0.54,0.57
MLQ,QRWQLN8U7OY4,Communications and networking,0.71,0.35,0.76,0.94
FUSB,YTV9UNELFS57,Food and drug retailing,0.45,0.7,0.83,0.78
MGTU,RRYXGOL3WP09,Food and drug retailing,0.25,0.79,0.72,1
VKEV,SG3RU7VVA9F5,Food and tobacco,0.69,0.58,0.86,0.63
XRD,LHHAW2XBUBF4,Healthcare equipment and supplies,0.27,0.87,0.95,0.67
KBU,QI3KIW4XAY68,Leisure products,0.97,0.76,0.48,0.55
BZW,NQYCZI282UG6,Oil and gas related equipment and services,0.81,0.52,0.92,0.51
LJLR,QV7FBKWFB5L8,Passenger transportation services,0.94,0.53,0.46,0.83
VFF,KXUXN4G1L511,Real estate operations,0.92,0.12,0.86,0.86
UEOC,LIQWW8GAKWO5,Residential and commercial REITs,0.55,0.7,0.7,0.81
UGUX,UP1ZB7GBSK59,Specialty retailers,0.92,0.6,0.82,0.42
FUOW,XERVKJWNO3H5,Textiles and apparel,0.54,0.67,0.98,0.57
DUQT,TO1R5WCT0265,Transport infrastructure,0.77,0.92,0.52,0.55
GOAU,RK2F7VZ3QQN0,Water and related utilities,0.72,0.87,0.72,0.45
RSUQ,GNBH6YLZK1Z6,Water and related utilities,0.73,0.5,0.67,0.86
SGQO,IL715EWTDBH0,Water and related utilities,0.92,0.79,0.44,0.61
IOU,OXH56Q63ZL52,Aerospace and defense,0.61,0.93,0.27,0.94
MWAA,VZF8FJ5UTJB8,Automobiles and auto parts ,0.32,0.47,0.98,0.98
WJY,GDQ4DSCZRRK6,Chemicals ,0.59,0.57,0.74,0.85
IICP,YNB2J0MDMAW0,Collective investments,0.68,0.86,0.62,0.59
AZU,KZ5JE7GNSNW6,Communications and networking,0.67,0.97,0.65,0.46
DPS,NCK7IXKK4LC8,Communications and networking,0.76,0.48,0.71,0.8
XWGA,QQYO6BXHWPB9,Diversified industries,0.38,0.93,0.77,0.67
OKX,PQCG7NM26T74,Diversified retail,0.85,0.97,0.64,0.29
CKX,NK4CAI0PIM45,Healthcare equipment and supplies,0.99,0.61,0.52,0.63
CPSB,FQOQ5PB8TC32,Healthcare equipment and supplies,0.9,0.49,0.45,0.91
KDP,VPPV0F8ETXL9,Homebuilding and construction supplies,0.84,0.7,0.62,0.59
QQJ,SX7GSMXCZBL6,Homebuilding and construction supplies,0.32,0.74,0.95,0.74
KLSP,GXMM9RNTK9C6,Hotels and entertainment services,0.78,0.63,0.43,0.91
KEU,QTC6BAAG5K79,Insurance,0.88,0.32,0.68,0.87
RUFL,OBW7ZF4JBMR7,Leisure products,0.84,0.53,0.84,0.54
MNAT,APVO55OXZC25,Personal and household,0.86,0.49,0.61,0.79
ABTT,DY8TZ7EZQ6D0,Professional and commercial services,0.91,0.63,0.33,0.88
NAU,VGZ8LZO8POJ7,Professional and commercial services,0.9,0.09,0.96,0.8
AJE,HF8V9UM1GJS3,Real estate operations,0.98,0.72,0.53,0.52
PXOY,DKXSRK287RP0,Real estate operations,0.5,0.68,0.7,0.87
MQW,VFDZKTFMSK21,Renewable energy,0.97,0.33,0.62,0.83
YQDY,JUWE6UNSHZ69,Residential and commercial REITs,0.8,0.63,0.77,0.55
LEAW,PWEAAX5S7B23,Semiconductors,0.95,0.64,0.61,0.55
AXTA,OBZB4ELXRQC8,Software and IT services,0.49,0.38,0.89,0.99
WNBL,MLYW410Q58R2,Transport infrastructure,0.95,0.33,0.76,0.71
ZBP,MB23F620DYS0,Transport infrastructure,0.9,0.79,0.25,0.81
OBB,TN1M8Q8XB109,Uranium,0.95,0.98,0.8,0.02
QDJC,QUIM3WA6SXV4,Water and related utilities,0.7,0.76,0.57,0.72
UEV,TQ7R4TNUT0K8,Water and related utilities,0.92,0.42,0.51,0.9
UKA,CP8AQ788US65,Water and related utilities,0.96,0.03,0.93,0.83
NUYD,NR6N3G7XFVW8,Aerospace and defense,0.68,0.49,0.78,0.79
VCBN,TLOVBLGIFTC2,Banking services,0.42,0.93,0.67,0.72
QDC,WTJIW3O9UGB0,Coal ,0.86,0.05,0.94,0.89
YCQG,FRICNKP7IGK6,Coal ,0.78,0.2,0.76,1
LFNB,ZRKAKC8TNY93,Communications and networking,0.94,0.81,,0.99
MFHW,YRZ31X9VKB42,"Computers, phones and household electronics ",0.85,0.59,0.91,0.39
IEQM,TI2UVFCI4S66,Construction materials ,0.98,0.02,0.75,0.99
UWBK,UUDCF0B9K0C5,Diversified industries,0.8,0.49,0.46,0.99
YEPN,GQBVXO2I1NC4,Diversified industries,0.54,0.48,0.91,0.81
OGR,KC5RC1NQ7S40,Diversified retail,0.94,0.77,0.29,0.74
TKD,DTZTVKY0S2J3,Electric utilities and IPPs,0.85,0.93,0.07,0.89
WLYY,PKWFUSFZN648,Electric utilities and IPPs,0.33,0.98,0.54,0.89
VGR,SSZ56810KHY7,Electronic equipment and parts,0.37,0.98,0.6,0.79
BWGN,GXCJL3Z47YW8,Food and tobacco,0.07,0.91,0.77,0.99
RZJ,GP3YJC404ML0,Healthcare equipment and supplies,0.66,0.52,0.88,0.68
AIZO,OY4NMIN9FZK0,Homebuilding and construction supplies,0.86,0.78,0.16,0.94
MCPH,GQT0HPC3M8J8,Leisure products,0.57,0.5,0.89,0.78
IRZT,WKIZU0H9WCH1,Metals and mining ,0.52,0.58,0.67,0.97
CWXF,BIM469UO3GQ3,Multiline utilities,0.45,0.4,0.91,0.98
MFS,YCKL6CQIE390,Multiline utilities,0.96,0.94,0.72,0.12
EQZ,BSRCGNNNQRT2,Natural gas utilities,0.91,0.65,0.44,0.74
TZJ,WQNGSXXH9T19,Natural gas utilities,0.49,0.77,0.97,0.51
BIZF,IN8KS59W2GR9,Passenger transportation services,0.61,0.39,0.97,0.77
TEK,BRKE7LAAQB27,Pharmaceuticals,0.52,0.74,0.93,0.55
ONJQ,PPMGDGYVA8S2,Renewable energy,0.88,0.4,0.97,0.49
XBUL,MKKYXAYEUOK2,Residential and commercial REITs,0.91,0.87,0.16,0.8
OGD,GE275VUI0036,Software and IT services,0.43,0.94,0.84,0.53
YVF,PO12S3USSAN5,Transport infrastructure,0.62,0.25,0.96,0.91
LALE,KA56UCUZG1Y9,Electric utilities and IPPs,0.65,0.55,0.97,0.57
ETC,KSMOQVPE4EX0,Insurance,0.61,0.71,0.88,0.54
XBA,QV9EVZVV7YU1,Investment banking and investment services,0.14,0.87,0.85,0.88
EIVQ,LP8PI7WJBRT0,Investment holding companies,0.52,0.69,0.92,0.61
KIO,OLHAQALKG7K8,Media and publishing,0.43,1,0.87,0.44
EWGL,GP4WN1LIQ5L7,Transport infrastructure,0.65,0.98,0.65,0.46
NCC,SOMW8RW6PUO7,Containers and packaging ,0.53,0.88,0.66,0.66
PGO,DLZEQO6LRVS5,Hotels and entertainment services,0.9,0.55,0.79,0.49
QDDF,IGSHZD57VAO1,Passenger transportation services,0.79,0.93,0.1,0.91
CSA,MFG2CDPRRLX7,Textiles and apparel,0.7,0.88,0.39,0.76
FAOT,VCH85T4AHJH0,Textiles and apparel,0.93,0.79,0.89,0.12
IRDI,JB2WA899KO35,Aerospace and defense,0.76,0.77,0.25,0.95
ZYQ,MFAPHIO0A9N9,Automobiles and auto parts ,0.39,0.75,0.63,0.96
JEJ,GA1T8G0FF9Z7,Banking services,0.31,0.82,0.92,0.68
HBLK,DPPGVBW9Z2Q7,Beverages,0.46,0.55,0.76,0.96
SCFO,XT9PV27OBFF3,Beverages,0.83,0.42,0.56,0.92
HNMP,DCCS63Z5C0O3,Biotechnology and medical research,0.57,0.25,0.98,0.93
SEZ,QA86Q2U0XQ63,Chemicals ,0.98,0.69,0.48,0.58
OCW,HKV3DT35BRG3,Coal ,0.45,0.74,0.56,0.98
WKU,HULYE6T8I5R7,Coal ,0.55,0.69,0.82,0.67
RWKA,XFZ81FVZJXS2,"Computers, phones and household electronics ",0.89,0.34,0.54,0.96
TYX,JI4Z4PJWSVR9,Construction materials ,0.83,0.67,0.96,0.27
XVC,VWRMEIGBY2T3,Diversified retail,0.91,0.63,0.98,0.21
NCW,VWORL11LJ7L9,Electronic equipment and parts,0.83,0.69,0.38,0.83
YAYK,DREFCH9J1Z40,Electronic equipment and parts,0.95,0.73,0.37,0.68
JPPN,IWX0EQLDVKW7,Food and drug retailing,0.8,0.6,0.54,0.79
XQI,KT8ML54S48H2,Freight and logistics services,0.92,0.04,0.79,0.98
ZFHA,VSFW5WO4CK04,Freight and logistics services,0.97,0.61,0.47,0.68
IWX,CF95BDUAAS14,Healthcare providers and services,0.95,0.65,0.75,0.38
LUAP,QQHL8PA09YR0,Homebuilding and construction supplies,0.77,0.49,0.9,0.57
TKPX,CLF9E63WQ571,Investment banking and investment services,0.91,0.92,0.73,0.17
AAE,NGDBXI0AMXY2,Investment holding companies,0.81,0.33,0.63,0.96
REAE,PCP03DB30XZ2,"Machinery, tools, heavy vehicles, trains and ships",0.8,0.69,0.86,0.38
YFAE,OI31QA3T1DQ2,Media and publishing,0.72,0.29,0.78,0.94
DZR,CKL7YO56L4J8,Natural gas utilities,0.83,0.6,0.73,0.57
HDFQ,FS8KDP3968U7,Oil and gas related equipment and services,0.29,0.96,0.67,0.81
JTUY,HZ57T47CV4W9,Oil and gas related equipment and services,0.81,0.69,0.54,0.69
HOV,JG8CF7X243Z4,Software and IT services,0.82,0.84,0.55,0.52
RAR,LC8TMAAANND7,Software and IT services,0.83,0.42,1,0.48
VSSW,ES66TGMC8WS1,Software and IT services,0.6,0.95,0.25,0.93
YCX,UV6AUFS6PMF0,Specialty retailers,0.92,0.47,0.51,0.83
LLO,LRDKTUWHZSE8,Media and publishing,0.76,0.89,0.82,0.26
UHPV,CN3MBL1A9RM8,Aerospace and defense,0.55,0.76,0.5,0.91
EQBP,MZEGNDPKC4P1,Banking services,0.33,0.81,0.67,0.91
NVF,IRAVD1BOL9B9,Beverages,0.9,0.78,0.59,0.45
BEEM,IQ9KFA6SZAR7,Coal ,0.86,0.67,0.76,0.43
DWD,AP0RE0RR1C90,Coal ,0.85,0.39,0.86,0.62
EWG,PQ4QABGK9UE4,Collective investments,0.89,0.68,0.36,0.79
CAE,EVTHNU3X64N7,Containers and packaging ,0.53,0.96,0.34,0.89
OGF,AQCS5UWHUID4,Containers and packaging ,0.06,0.9,0.87,0.89
TBZN,IJLDDGSWBVQ8,Containers and packaging ,0.82,0.81,0.41,0.68
OUZF,ZNZRGC5SDZZ2,Diversified industries,0.91,0.91,0.86,0.04
CLWW,ZLYA0UMF3ME5,Electric utilities and IPPs,0.97,0.67,0.2,0.88
BBK,TERIF0AW7WX1,Healthcare equipment and supplies,0.98,0.63,0.97,0.14
BJA,XLHHQS8FP4X7,Hotels and entertainment services,0.79,0.74,0.92,0.27
WRAZ,FCNLVJZPWMX1,"Machinery, tools, heavy vehicles, trains and ships",0.5,0.7,0.84,0.68
QNG,IPEN15WL4UY0,Oil and gas related equipment and services,0.77,0.62,0.6,0.73
NJP,LLRC4DB6TLE1,Personal and household,0.29,0.95,0.55,0.93
OEXJ,HG6563FNWSW5,Personal and household,0.67,0.78,0.68,0.59
SHH,DN5UAHPE7EG7,Pharmaceuticals,0.33,0.93,0.8,0.66
RFST,RE5URID5SN77,Professional and commercial services,0.55,1,0.95,0.22
WXS,NSSWB0ZRJ578,Renewable energy,0.81,0.25,0.91,0.75
LIYG,YTR704VWCRW0,Semiconductors,0.47,0.82,0.54,0.89
DIVK,RIXCUNI5P211,Telecommunications services,0.77,0.31,0.74,0.9
HNYJ,JJD2ZJDLPBH0,Biotechnology and medical research,0.83,0.6,0.46,0.83
QUBO,ZMKPTZ6NFBA2,Biotechnology and medical research,0.97,0.16,0.78,0.81
BHZ,GPSGLMWZV881,Leisure products,0.99,0.69,0.09,0.95
ETHS,AI6NYIMLPQY1,Leisure products,0.65,0.97,0.8,0.3
KMQS,VL3CZTY7LDL1,Leisure products,0.96,0.59,0.25,0.92
JBV,TM0LD4CTROY7,Natural gas utilities,0.38,0.69,0.79,0.86
CDRT,DRWHV8ORIM54,Oil and gas,0.8,0.44,0.7,0.78
DWZ,ODCKO36U8FH1,Oil and gas,0.99,0.71,0.91,0.11
OCOK,UK3VYSTLCF77,Oil and gas related equipment and services,0.52,0.45,0.83,0.92
FGDH,ZCKFRK5QG4U0,Personal and household,0.64,0.68,0.44,0.96
HQSW,KBIOLVNIM3D5,Renewable energy,0.97,0.29,0.5,0.96
PYUM,YFCTNVHQUWH9,Semiconductors,0.72,0.36,0.7,0.94
ZXH,PDNOSU8W8C32,Semiconductors,0.94,0.64,0.19,0.95
BRRS,NHHC4ETESAZ4,Chemicals ,0.77,0.93,0.87,0.14
AOSX,KZIVGZNH7W23,Banking services,0.87,0.38,0.83,0.63
GPRD,IHSJOL9U3TI3,Banking services,0.72,0.22,0.79,0.98
AGK,EIJODXIW2FD4,Beverages,0.98,0.5,0.84,0.39
VKB,ZV8ZB1RRO776,Coal ,0.78,0.79,0.63,0.51
SYRQ,OIEAS52A8UT6,Construction and engineering,0.98,0.93,,0.8
LHJH,UJZOY5765B53,Construction materials ,1,0.52,0.95,0.24
GJT,PB0PEV605JU4,Containers and packaging ,0.61,0.99,0.79,0.32
SYEC,LM9AHF7YVM32,Diversified industries,0.43,0.7,0.98,0.6
UPB,TMIZG0O5MSL5,Diversified industries,0.19,0.88,0.66,0.98
PKCZ,TGUL0TMPD5A5,Food and drug retailing,0.9,0.99,0.34,0.48
YQQ,AYSES4YW6KB2,Food and drug retailing,0.56,0.43,0.91,0.81
MDC,NBOYKWX3EU12,Hotels and entertainment services,0.92,0.64,0.56,0.59
TSKN,VL8MYP10HS25,Industrial conglomerates,0.9,0.49,0.34,0.98
LIHQ,AOIR2WJQZIH1,Insurance,0.82,0.57,0.6,0.72
TDIY,BAQSTIST0CF4,Insurance,0.79,0.96,0.82,0.14
NPBE,YBFBQCND7EK0,Multiline utilities,0.79,0.39,0.86,0.67
TRK,QAZJBVYHP833,Paper and forest products,0.36,0.53,0.89,0.93
EAF,YJEWBGWTKEA2,Personal and household,0.77,0.5,0.85,0.59
FSLG,VQNKU7F8SCC2,Personal and household,0.93,0.05,0.95,0.78
QXLP,VBB5S9CVOWN9,Pharmaceuticals,0.61,0.78,0.79,0.53
SBCF,GIBVKH14TPM2,Professional and commercial services,0.92,0.31,0.9,0.58
SRV,PT1CGMO33PV5,Professional and commercial services,0.62,0.46,1,0.63
ZFC,PL451MPXDBE0,Professional and commercial services,0.36,0.75,0.83,0.77
NAC,NO7BO2M06IT3,Renewable energy,0.88,0.48,0.73,0.62
XOF,MUS32GFO8V07,Software and IT services,0.47,0.51,1,0.73
LBG,MH2C2RP3HQ53,Textiles and apparel,0.57,0.73,0.51,0.9
BNFR,BGFLXHUHHUG9,Uranium,0.75,0.96,0.31,0.69
SDK,XRVVDLRJL6M9,Chemicals ,0.83,0.95,0.78,0.15
ODQ,ZVL4KNISY252,Aerospace and defense,0.75,,0.97,0.98
RJN,UCWZ7ZLZ62S2,Aerospace and defense,0.61,0.58,0.74,0.77
FYP,YOULW6YV3T08,Beverages,0.67,0.42,0.66,0.95
DIFW,BVF6LBJGKNN8,Construction and engineering,0.64,0.8,0.5,0.76
HOMQ,RWT6CZ6AT6N4,Construction and engineering,0.41,0.56,0.75,0.98
DWOT,CU2GEGTQQTR3,Diversified retail,0.51,0.94,0.88,0.37
EZZ,SZWHOQQ4GV09,Electronic equipment and parts,0.89,0.99,0.53,0.29
PAM,NS0CRL315ST5,Electronic equipment and parts,0.69,0.83,0.39,0.79
NPI,AGKEOL7A3O46,Food and tobacco,0.92,0.77,0.02,0.99
UDF,ZMWED0C6AAZ4,Food and tobacco,0.5,0.89,0.81,0.5
XBAE,LZAGIYYJVKA3,Industrial conglomerates,0.92,0.87,0.53,0.38
OJD,BP2508REJ1L5,Media and publishing,0.56,0.93,0.41,0.8
APY,PZRNGWUT0P81,Natural gas utilities,0.45,0.27,0.99,0.99
CIKH,UHULIA1ZKHR2,Natural gas utilities,0.21,0.92,0.63,0.94
NBA,IK10CLEPJLM7,Office equipment,0.67,0.89,0.98,0.16
WAC,ZDPUWNDKZVJ2,Oil and gas,0.75,,0.99,0.96
UOI,CTP1SVBEBVG5,Paper and forest products,0.7,0.59,0.47,0.94
EHLZ,KPNGMRQM37B4,Semiconductors,0.66,0.77,0.78,0.49
PAJ,SU2Z2AAQ68X0,Semiconductors,0.97,0.31,0.48,0.94
SATM,DSUHNIT16U32,Specialty retailers,0.48,0.62,0.67,0.93
DSFU,KEWDFNHQ7V66,Textiles and apparel,0.55,0.45,0.98,0.72
KCB,DHR58E0NLC98,Textiles and apparel,0.36,0.73,0.89,0.72
SDE,DX4RF63Q6XA9,Textiles and apparel,0.98,0.12,0.67,0.93
ETJ,LMV5XQJ4ACU2,Uranium,0.64,0.84,0.81,0.41
FUDK,UNG49NG5BWO0,Automobiles and auto parts ,0.27,0.92,0.88,0.63
WPUU,PRB446ICSRL4,Biotechnology and medical research,0.95,0.28,0.88,0.59
WPDA,GL82FM7UICN4,"Computers, phones and household electronics ",0.91,0.67,0.82,0.3
NDY,FV1ZA2FJIL62,Food and drug retailing,0.47,0.76,0.59,0.88
QSG,OPAPJUD3F3C2,Freight and logistics services,0.99,0.52,0.54,0.65
CDX,YLH42CU4YKS1,Insurance,0.74,0.36,0.99,0.61
QUD,XPH69MFSGTJ9,Investment banking and investment services,0.72,0.56,0.85,0.57
STP,KGEA5ELZ5G63,Leisure products,0.61,0.94,0.16,0.99
DNM,WV5TNIV9IMB4,Automobiles and auto parts ,0.18,0.92,0.64,0.95
VGGV,RG8W9ZMFRVM9,Coal ,0.72,0.9,0.58,0.49
VGN,PPIVPXZZGGN9,Industrial conglomerates,0.3,0.97,0.89,0.53
LMY,YNV4U7TWNT33,Leisure products,0.5,0.86,0.8,0.53
ARBQ,GLGAL713GK61,Telecommunications services,0.25,0.73,0.93,0.78
JXB,GGF8Z5P61NL5,Telecommunications services,0.73,0.85,0.37,0.74
ZFO,EMUBH95Z5ZG8,Banking services,0.85,0.22,0.7,0.92
KDW,PUWGMEQBPO00,Communications and networking,0.15,0.75,0.81,0.98
VSNS,ROQBKVWGE2M4,"Computers, phones and household electronics ",0.51,0.45,0.89,0.84
PFH,JP07V99I45R6,Containers and packaging ,0.86,0.78,0.7,0.35
DDVT,OU9T95UYJT79,Electric utilities and IPPs,0.97,0.21,0.64,0.87
HTV,SEN2JEGY2OX0,Electric utilities and IPPs,0.84,0.97,0.05,0.83
JZO,FW8QU834LPL8,Electric utilities and IPPs,0.57,0.97,0.43,0.72
RYD,DCY4FRNOZ148,Electronic equipment and parts,0.47,0.7,0.79,0.73
OIOX,FIMLXDCDUCR1,Healthcare providers and services,0.68,0.16,0.89,0.96
GEK,YPMO6TQ1IMS0,Homebuilding and construction supplies,0.71,0.87,0.5,0.61
PVP,UOWSA3Q6V5E7,Hotels and entertainment services,0.91,0.78,1,
REYP,TJ323Y48DQN9,Household goods,0.75,0.72,1,0.22
BYOH,ADV1E0PV8642,Insurance,0.42,0.78,0.83,0.66
YKIR,BEZ2TLLGWJP4,Insurance,0.65,0.73,0.38,0.93
URR,RY6RJCY91JL3,Investment banking and investment services,0.76,0.45,0.62,0.86
